9.0 -1.899 -2.495
9.1 -1.923 -2.486
9.2 -1.970 -2.485
9.3 -2.031 -2.523
9.4 -2.055 -2.576
9.5 -2.106 -2.603
9.6 -2.144 -2.634
9.7 -2.179 -2.642
9.8 -2.188 -2.652
9.9 -2.2160 -2.655
10.0 -2.2340 -2.649
10.1 -2.2350 -2.614
10.2 -2.2620 -2.607
10.3 -2.2520 -2.5640
10.4 -2.2850 -2.5640
10.5 -2.3170 -2.5800
10.6 -2.3650 -2.6050
10.7 -2.4190 -2.6450
10.8 -2.5040 -2.7050
10.9 -2.6070 -2.7860
11.0 -2.7280 -2.8840
11.1 -2.8880 -3.0190
11.2 -3.1040 -3.2090
11.3 -3.3320 -3.4130
11.4 -3.6060 -3.6670
11.5 -3.953 -4.002
11.6 -4.363 -4.401
11.7 -4.778 -4.806
11.8 -5.255 -5.296
11.9 -5.87 -5.93
12.0 -6.49 -6.61
