#email from Mattia Vaccari, 25th Sep

#z_centre [log(L_IR density) [L_bol/Lsun] (8-1000 micron)] [log(err) (1-sigma)]

0.15    8.18    0.02 
0.37    8.49    0.03 
0.52    8.49    0.08 
0.70    8.67    0.05 
0.90    8.72    0.03 
1.10    8.84    0.04 
1.45    8.86    0.03 
1.85    8.93    0.04 
2.25    8.87    0.05 
2.75    8.80    0.05 
3.60    8.58    0.08 
4.60    8.43    0.12













